Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
14110,Merchant Shipping Act 1995,"S.101(1)(a), (4) & (5) / S.101(1)(b), (4) & (5)",Being drunk or disorderly and being refused entry to ship persists in attempting to enter ship / CJS: MS95015 / Being drunk on board a ship and refusing to leave / CJS: MS94016,L2,-,141/10,141/10,-,-,141/10,No,2009 or earlier
15027,Merchant Shipping Act 1995,"SS.103, 104, 107 & Sch.6","All matters concerning passengers, including stowaways (summary offences) / CJS: MS95010-13",L5,-,150/27,150/27,-,-,150/27,No,2009 or earlier
708,Merchant Shipping Act 1995,S.117,Seaman while on duty under the influence of drink / CJS: MS95014,L5,S 7/08,S 7/08,S 7/08,2 years,S 7/08,S 7/08,Yes,2009 or earlier
15028,Merchant Shipping Act 1995,"S.124(1) - (4), 126 & 127",All matters relating to fishing vessels (summary) / CJS: MS95015-18,L5,-,150/28,150/28,-,150/28,150/28,No,2009 or earlier
9999,Merchant Shipping Act 1995 / added by / Merchant Shipping and Maritime Security Act 1997 ,S.130D(1),Contravention of Regulations made with regard to waste reception facilities at harbours / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping Act 1995 / as amended by / Merchant Shipping and Maritime Security Act 1997 / and / Merchant Shipping (Prevention of Pollution) (Amendment) Order 1998 / [SI 1998/254],S.131 / S.7,Discharge of oil into United Kingdom waters / CJS:,"£25,000",S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping Act 1995,S.131,Discharge of oil into United Kingdom waters / CJS: MS95019,"£50,000",S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
19599,Merchant Shipping Act 1995,S.136,Failure to report discharge of oil into waters of harbour / CJS: MS95020,L5,-,195/99,195/99,-,195/99,195/99,No,2009 or earlier
9999,Merchant Shipping Act 1995,S.139,Failing to comply with any requirements of the direction given by the person to whom the direction is duly given under Sec.137 (shipping casualties) / CJS: MS95021,"£50,000",S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
19599,Merchant Shipping Act 1995,S.142(6) & (7),Owner or Master of ship failing to carry oil record book or failing to comply with regulations to oil record books / CJS: MS95022-24,L5,-,195/99,195/99,-,195/99,195/99,No,2009 or earlier
9999,Merchant Shipping Act 1995,S.142(8),Owner or Master of ship makes an entry in oil record book knowing it to be false or misleading / CJS:,6 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping Act 1995 / added by / Merchant Shipping and Maritime Security Act 1997 ,S.192A(5)(b),Contravention of Regulations requiring insurance or security (TEW offences) / CJS:,"£50,000",S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
15029,Merchant Shipping Act 1995 / added by / Merchant Shipping and Maritime Security Act 1997 ,S.192A(5)(c),Contravention of Regulations requiring insurance or security (Summary offences) / CJS:,"£50,000",-,150/29,150/29,-,-,150/29,No,2009 or earlier
19599,Merchant Shipping Act 1995,SS.219(1) - (3) & 220,"All matters relating to lighthouses
(summary offences) / CJS: MS95025-28",L5,-,195/99,195/99,-,195/99,195/99,No,2009 or earlier
19599,Merchant Shipping Act 1995,"SS.232, 233, 234, 236(1) - (4), 237, 246(1( - (3) & (5), 268 & 680 / S.245",All matters relating to wrecks etc. (summary offences) / CJS: MS95029-39 / Selling abroad wreck found in British waters / CJS: MS 95040,L4 / -,- / S 99/99,195/99 / S 99/99,195/99 / -,- / 5 years,195/99 / S 99/99,195/99 / S 99/99,No / Yes,2009 or earlier
9999,Merchant Shipping Act 1995,Sch.2,Regulations relating to submersible and supporting apparatus Ð offences created by S.88 / CJS: MS95041,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
705,Merchant Shipping Act 1995,Sch.3 para 3,Any ship proceeds or attempts to proceed to sea in contravention of load line rules / CJS: MS95042,L5,S 7/05,S 7/05,S 7/05,Fine,S 7/05,S 7/05,Yes,2009 or earlier
705,Merchant Shipping Act 1995,"Sch.3 para 4,14",Taking or sending ship to sea with load line submerged / CJS: MS95043,L5,S 7/05,S 7/05,S 7/05,Fine,S 7/05,S 7/05,Yes,2009 or earlier
15011,Merchant Shipping Act 1995,Sch.3 paras 5 and 26,"Failure to mark ship or concealing, removing, altering, defacing or obliterating, or causing to be, any mark required on a ship (load lines etc) / CJS: MS95044",L5,-,150/11,150/11,-,-,150/11,No,2009 or earlier
705,Merchant Shipping Act 1995,Sch.3 para 9,Ship proceeds or attempts to proceed to sea without load line certificate / CJS: MS95045,L5,S 7/05,S 7/05,S 7/05,Fine,S 7/05,S 7/05,Yes,2009 or earlier
15011,Merchant Shipping Act 1995,Sch.3 para 10,Failure to display load line certificate / CJS: MS95046,L3,-,150/11,150/11,-,-,150/11,No,2009 or earlier
705,Merchant Shipping Act 1995,Sch.3 para 13,Ship proceeds to sea or attempts to proceed to sea from UK port in contravention of load line rules / CJS: MS95047,L5,S 7/05,S 7/05,S 7/05,Fine,S 7/05,S 7/05,Yes,2009 or earlier
709,Merchant Shipping Act 1995,Sch.3 para 24,Contravention of deck cargo regulations (load lines) / CJS: MS95048,L5,S 7/09,S 7/09,S 7/09,Fine,S 7/09,S 7/09,Yes,2009 or earlier
710,Merchant Shipping Act 1995,Sch 3 para 27,"Intentionally makes or assists in making, or procures to be made, a false or fraudulent certificate (load lines etc) / CJS: MS95049",6 months or L5,S 7/10,S 7/10,S 7/10,2 years,S 7/10,S 7/10,Yes,2009 or earlier
9514,Merchant Shipping Act 1995 / added by / Maritime Safety Act 2003 ,Sch.3A para. 5-9 / Sch.1,Failure to comply with a directive given under Sch.3A or intentional obstruction of person acting on behalf of S of S in connection with the giving of a direction under this Schedule / CJS:,"£50,000",S 95/14,S 95/14,S 95/14,Fine,S 95/14,S 95/14,Yes,2009 or earlier
9559,Merchant Shipping (Safety of Navigation) Regulations 2002 / [SI 2002/1473],"Sch.4 PP.2 - 6, 9 - 11, 15 & 17 - 19 ","TEW Offences / CJS: MS02001-05, 08-11, 15 & 17-19",L5,S 95/59,S 95/59,S 95/59,2 years,S 95/59,S 95/59,Yes,2010 April
15033,Merchant Shipping (Safety of Navigation) Regulations 2002 / [SI 2002/1473],"Sch.4 PP.7, 13 & 15","Owner or master of ship contravening Regulations 21, 27 or 29 / CJS: MS02006 - 12 & 14",L4,-,150/33,150/33,-,-,150/33,No,2010 April
15034,Merchant Shipping (Safety of Navigation) Regulations 2002 / [SI 2002/1473],Sch.4 PP.8 & 14 ,Owner or master of ship contravening Regulations 22 or 28. / CJS: MS02007 & 13,L5,-,150/34,150/34,-,-,150/34,No,2010 April
15035,Merchant Shipping (Safety of Navigation) Regulations 2002 / [SI 2002/1473],Sch.4 PP.17,Master of ship failing to comply with R.31(1) of Chapter V of International Convention for Safety of Life at Sea 1974 / CJS:MS02016,L2,-,150/35,150/35,-,-,150/35,No,2010 April
15009,Merchant Shipping (Employment of Young Persons) Regulations 1996,,Employment of young persons / CJS: MS95050,L3,-,150/09,150/09,-,-,150/09,No,2009 or earlier
9167,Merchant Shipping (Pollution) Act 2006,S.1(2) & (4),TEW Regulations made under this Act / CJS:,6 months or L5 or both,S 91/67,S 91/67,S 91/67,2 years,S 91/67,S 91/67,Yes,2009 or earlier
15032,Merchant Shipping (Pollution) Act 2006,S.1(2) & (4),Summary Regulations made under this Act / CJS:,6 months or L5 or both,-,S 150/32,S 150/32,-,-,S 150/32,No,2009 or earlier
9945,Merchant Shipping (Additional Safety Measures for Bulk Carriers) Regulations 1999 ,,Contravention of Regulations / CJS:,L5,S 99/45,S 99/45,S 99/45,2 years,S 99/45,S 99/45,Yes,2009 or earlier
15009,Merchant Shipping and Fishing Vessels (Health & Safety) (Employment of Young Persons) Regulations 1998 / [SI 1998/2411],,Any contravention of these Regulations / CJS:,L3,-,150/09,150/09,-,-,150/09,No,2009 or earlier
15025,Merchant Shipping and Fishing Vessels (Manual Handling Operations) (Duty of Employers) Regulations 1998 / [SI 1998/2857],R.5,Manual Handling of Loads / CJS:,L5,-,150/25,150/25,-,-,150/25,No,2009 or earlier
15025,Merchant Shipping and Fishing Vessels (Manual Handling Operations) (Duty of Employers) Regulations 1998 / [SI 1998/2857],R.6,Manual Handling of Loads / CJS:,L2,-,150/25,150/25,-,-,150/25,No,2009 or earlier
9999,Merchant Shipping and Maritime Security Act 1997 ,S24,Contravention of an Order relating to protection of wrecks - implementation of international agreements / CJS:,L5,S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping (Pilot Transfer Arrangements) Regulations 1999 / [SI 1999/17],Reg.5,Owner contravening pilot transfer arrangements / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping (Pilot Transfer Arrangements) Regulations 1999 / [SI 1999/17],Reg.6,Master contravening pilot transfer arrangements / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping (Pilot Transfer Arrangements) Regulations 1999 / [SI 1999/17],Reg.6(2),Responsible Officer failing to supervise as instructed by the master and required by Reg 6(2) / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Merchant Shipping (Small Workboats and Pilot Boats) Regulations 1998 / [SI 1998/1609],R.9(1),Contravention of Reg 5 - Small vessels complying with Code of Practice / CJS: MS98002,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
15030,Merchant Shipping (Small Workboats and Pilot Boats) Regulations 1998 / [SI 1998/1609],R.9(2),Contravention of compliance with code of practice for pilot boats Reg 6 Except R.6(2)(d) / CJS: MS98001 & 3,L4,-,150/30,150/30,-,-,150/30,No,2009 or earlier
15030,Merchant Shipping (Small Workboats and Pilot Boats) Regulations 1998 / [SI 1998/1609],R.9(3),Contravention of compliance with code of practice for pilot boats Reg 6 (2)(d) / CJS: MS98004,L3,-,150/30,150/30,-,-,150/30,No,2009 or earlier
9567,Merchant Shipping (Technical Requirements for Inland Waterway Vessels) Regulations 2010 / [SI 2010/1075],R.13(1),Owner or master contravening regulations under R.13(1)(a) - (c) / CJS: MS10001-3,L5,S 95/67,S 95/67,S 95/67,2 years or fine or both,S 95/67,S 95/67,Yes,2011
16404,Metropolitan Fire Brigade Act 1865,,Summary offences / CJS: MF65001-2,-,-,164/04,164/04,-,-,164/04,No,2009 or earlier
82090,Metropolitan Police Act 1839,S.54(1),Repairing or cleaning vehicle on roadway / CJS: MP39001-2,14 days or L2,-,820/90,820/90,-,-,820/90,No,2009 or earlier
13701,Metropolitan Police Act 1839,S.54(5),Pedal cycles: Riding to common danger / CJS: MP59003,L1,-,137/01,137/01,-,-,137/01,No,2009 or earlier
81902,Metropolitan Police Act 1839,S.54(7),Driving on footway / CJS: MP39004,L1,-,819/02,819/02,-,-,819/02,No,2009 or earlier
13707,Metropolitan Police Act 1839,S.54(70 & Byelaws,Pedal Cycles: riding on footpath / CJS: MP39005,L1,-,137/07,137/07,-,-,137/07,No,2009 or earlier
16111,Metropolitan Police Acts,offences under the above,- allowing a chimney to be on fire / CJS:,-,-,161/11,161/11,-,-,161/11,No,2009 or earlier
16211,,,- disorderly behaviour / CJS:,-,-,162/11,162/11,-,-,162/11,No,2009 or earlier
16411,,,- various offences / CJS: MP39012,-,-,164/11,164/11,-,-,164/11,No,2009 or earlier
16311,,,- non-vehicular street offences / CJS:,-,-,163/11,163/11,-,-,163/11,No,2009 or earlier
17306,Metropolitan Public Carriage Act 1869 / and Order dated 30 December 1907 made thereunder by the Secretary of State,,Offences peculiar to stage carriage and Public Service Vehicles / CJS: MC69001-03,L4,-,173/06,173/06,-,-,173/06,No,2009 or earlier
16111,Metropolitan Streets Acts,,- allowing a chimney to be on fire / CJS:,L4,-,161/11,161/11,-,-,161/11,No,2009 or earlier
16211,Metropolitan Streets Acts,,- allowing a chimney to be on fire / CJS:,-,-,162/11,162/11,-,-,162/11,No,2009 or earlier
16311,Metropolitan Streets Acts,,- non-vehicular street offences / CJS: / - allowing a chimney to be on fire,-,-,163/11,163/11,-,-,163/11,No,2009 or earlier
16411,Metropolitan Streets Acts,,CJS:,-,-,164/11,164/11,-,-,164/11,No,2009 or earlier
17305,Metropolitan Streets Acts,,- 1885 Act / - allowing a chimney to be on fire / CJS:,-,-,173/05,173/05,-,-,173/05,No,2009 or earlier
19543,Midland Metro System Byelaws 1999,SS.4-15 & 2(2),Summary offences / CJS: MM99001-57,Fine,-,195/43,195/43,-,-,195/43,No,2012
15305,Military Lands Act 1892,and Byelaws made thereunder / , / CJS:,L2,-,153/05,153/05,-,-,153/05,No,2009 or earlier
9999,Mineral Workings (Offshore Installations) Act 1971,S.3,Contravening the construction and survey regulations for offshore installations. / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Mineral Workings (Offshore Installations) Act 1971,S.5(4) / ,Relating to managers of offshore installations / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Mineral Workings (Offshore Installations) Act 1971,S.7 / ,Relating to labour laws / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
14851,Mines and Quarries Act 1954, / ,Relating to the management and control of mines and quarries and is concerned with the safety and health of persons employed / CJS:,3 months or L4 or both,-,148/51,148/51,-,-,148/51,No,2009 or earlier
16851,Mines and Quarries (Tips) Act 1969,Part II (Except S.12(2) [in part]),Prevention of public danger; disused tips / CJS: MQ69010/20-23,L5,-,168/51,168/51,-,-,168/51,No,2009 or earlier
6702,Mines and Quarries (Tips) Act 1969,S.12(2) (in part),Perjury and false statements / CJS: MQ69015-16,L5,S 67/02,S 67/02,S 67/02,2 years,S 67/02,S 67/02,Yes,2009 or earlier
14822,Mining Industry Acts 1920 to 1926 / as amended by / Mines and Quarries Act 1954, / ,Offences against labour laws / CJS:,L1,-,148/22,148/22,-,-,148/22,No,2009 or earlier
9385,Misuse of Drugs Act 1971 / added by / Police Reform and Social Responsibility Act 2011,SS.2A & 25(2B) / Sch.17,Producing or being concerned in the production of a drug the subject of a temporary class drug order / CJS: MD71583-4,"6 months or £5,000 or both",093/85,093/85,093/85,14 years or unlimited fine or both,093/85,093/85,Yes,2012
9386,Misuse of Drugs Act 1971 / added by / Police Reform and Social Responsibility Act 2011,SS.2A & 25(2B) / Sch.17,"Supplying or offering to supply or being concerned in supplying or offering to supply a drug the subject of a temporary class drug order / CJS: MD71585-6, 89-90","6 months or £5,000 or both",093/86,093/86,093/86,14 years or unlimited fine or both,093/86,093/86,Yes,2012
9388,Misuse of Drugs Act 1971 / added by / Police Reform and Social Responsibility Act 2011,"SS.2A, 5(3) & 25(2B) / Sch.17",Possessing with intent to supply a drug the subject of a temporary class drug order / CJS: MD71588,"6 months or £5,000 or both",093/88,093/88,093/88,14 years or unlimited fine or both,093/88,093/88,Yes,2012
9387,Misuse of Drugs Act 1971 / added by / Police Reform and Social Responsibility Act 2011 / Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971,"SS.2A, 8(b) & 25(2B) / Sch.17 / S.4(2)",Permitting the use of premises for the supply or production of a drug the subject of a temporary class drug order / CJS: MD71587 / Production of or being concerned in the production of a controlled drug / [Class 'A' Drug]:-,"6 months or £5,000 or both",093/87,093/87,093/87,14 years or unlimited fine or both,093/87,093/87,Yes,2012
9210,Misuse of Drugs Act 1971,,Cocaine / CJS: MD71090/110,6 months or L5 or both,S 92/10,S 92/10,S 92/10,Life,S 92/10,S 92/10,Yes,2009 or earlier
9214,Misuse of Drugs Act 1971,,Crack / CJS: MD71094/114,6 months or L5 or both,S 92/14,S 92/14,S 92/14,Life,S 92/14,S 92/14,Yes,2009 or earlier
9211,Misuse of Drugs Act 1971,,Heroin / CJS: MD71091/111,6 months or L5 or both,S 92/11,S 92/11,S 92/11,Life,S 92/11,S 92/11,Yes,2009 or earlier
9212,Misuse of Drugs Act 1971,,LSD / CJS: MD71092/112,6 months or L5 or both,S 92/12,S 92/12,S 92/12,Life,S 92/12,S 92/12,Yes,2009 or earlier
9213,Misuse of Drugs Act 1971,,MDMA / CJS: MD71093/113,6 months or L5 or both,S 92/13,S 92/13,S 92/13,Life,S 92/13,S 92/13,Yes,2009 or earlier
9215,Misuse of Drugs Act 1971,,Methadone / CJS: MD71095/115,6 months or L5 or both,S 92/15,S 92/15,S 92/15,Life,S 92/15,S 92/15,Yes,2009 or earlier
9355,Misuse of Drugs Act 1971,,Methylamphetamine (Crystal Meth) / CJS: MD71510/512,6 months or L5 or both,S 93/55,S 93/55,S 93/55,Life,S 93/55,S 93/55,Yes,2009 or earlier
9219,Misuse of Drugs Act 1971,,Other Class 'A' / CJS: MD71099/119 / [Class 'B' Drug]:-,6 months or L5 or both,S 92/19,S 92/19,S 92/19,Life,S 92/19,S 92/19,Yes,2009 or earlier
9220,Misuse of Drugs Act 1971,,Amphetamine / CJS: MD71100/120,6 months or L5 or both,S 92/20,S 92/20,S 92/20,14 years,S 92/20,S 92/20,Yes,2009 or earlier
9221,as amended by / Misuse of Drugs Act 1971 (Amendment) Order 2008,,Cannabis and cannabis resin; Cannabinol; Cannabinol derivatives / CJS: MD71440+,6 months or L5 or both,S 92/21,S 92/21,S 92/21,14 years,S 92/21,S 92/21,Yes,2009 or earlier
9222,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Synthetic cannabinoid receptor agonists / CJS: MD71558,6 months or L5 or both,S 92/22,S 92/22,S 92/22,14 years,S 92/22,S 92/22,Yes,2010 April
9223,added by / Misuse of Drugs Act 1971 (Amendment) Order 2010 / [SI 2010/1207], / A.2,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71581-82,6 months or L5 or both,S 92/23,S 92/23,S 92/23,14 years,S 92/23,S 92/23,Yes,2012
9225,,,Other Class 'B' / CJS: MD71125 / [Class 'C' Drug],6 months or L5 or both,S 92/25,S 92/25,S 92/25,14 years,S 92/25,S 92/25,Yes,2009 or earlier
9227,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Anabolic Steroids / CJS: MD71432/433,3 months or L4 or both,S 92/27,S 92/27,S 92/27,14 years,S 92/27,S 92/27,Yes,2009 or earlier
9359,,,GHB 4-Hydroxy-n-butric acid / CJS: MD71434/435,3 months or L4 or both,S 93/59,S 93/59,S 93/59,14 years,S 93/59,S 93/59,Yes,2009 or earlier
9360,,,Ketamine (Special K or Club 'horse' drug) / CJS: MD71495/496,3 months or L4 or both,S 93/60,S 93/60,S 93/60,14 years,S 93/60,S 93/60,Yes,2009 or earlier
9358,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD) / CJS: MD71560/562",3 months or L4 or both,S 93/58,S 93/58,S 93/58,14 years ,S 93/58,S 93/58,Yes,2010 April
937,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Piperazines (including BZP) / CJS: MD71564/566,3 months or L4 or both,S 93/57 ,S 93/57 ,S 93/57 ,14 years,S 93/57 ,S 93/57 ,Yes,2010 April
9228,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Other Class 'C' / CJS: MD71430-31/ 568,3 months or L4 or both,S 92/28,S 92/28,S 92/28,14 years,S 92/28,S 92/28,Yes,2009 or earlier
9229, / Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971 , / S.4(3),[Class unspecified] / CJS: MD71109/129 / Supplying or offering to supply (or being concerned in supplying or offering to supply) a controlled drug / [Class 'A' Drug]:-,6 months or L5 or both,S 92/29,S 92/29,S 92/29,Life,S 92/29,S 92/29,Yes,2009 or earlier
9230,Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971,,Cocaine / CJS: MD711130/50/70/90,3 months or L5 or both,S 92/30,S 92/30,S 92/30,Life,S 92/30,S 92/30,Yes,2009 or earlier
9234,Misuse of Drugs Act 1971,,Crack / CJS: MD71134/54/74/94,3 months or L5 or both,S 92/34,S 92/34,S 92/34,Life,S 92/34,S 92/34,Yes,2009 or earlier
9231,Misuse of Drugs Act 1971,,Heroin / CJS: MD71131/51/71/91,3 months or L5 or both,S 92/31,S 92/31,S 92/31,Life,S 92/31,S 92/31,Yes,2009 or earlier
9232,Misuse of Drugs Act 1971,,LSD / CJS: MD71132/52/72/92,3 months or L5 or both,S 92/32,S 92/32,S 92/32,Life,S 92/32,S 92/32,Yes,2009 or earlier
9233,Misuse of Drugs Act 1971,,MDMA / CJS: MD71133/53/73/93,3 months or L5 or both,S 92/33,S 92/33,S 92/33,Life,S 92/33,S 92/33,Yes,2009 or earlier
9235,Misuse of Drugs Act 1971,,Methadone / CJS: MD71135/55/75/95,3 months or L5 or both,S 92/35,S 92/35,S 92/35,Life,S 92/35,S 92/35,Yes,2009 or earlier
9361,Misuse of Drugs Act 1971,,Methylamphetamine (Crystal Meth) / CJS: MD71503-05,6 months or L5 or both,S 93/61,S 93/61,S 93/61,Life,S 93/61,S 93/61,Yes,2009 or earlier
9239,Misuse of Drugs Act 1971,,Other Class 'A' / CJS: MD71139/59/79/99 / [Class 'B' Drug]:-,3 months or L5 or both,S 92/39,S 92/39,S 92/39,Life,S 92/39,S 92/39,Yes,2009 or earlier
9240,Misuse of Drugs Act 1971,,Amphetamine / CJS: MD71140+,6 months or L5 or both,S 92/40,S 92/40,S 92/40,14 years,S 92/40,S 92/40,Yes,2009 or earlier
9241,as amended by / Misuse of Drugs Act 1971 (Amendment) Order 2008,,Cannabis and cannabis resin; Cannabinol; Cannabinol derivatives / CJS: MD71519+,6 months or L5 or both,S 92/41,S 92/41,S 92/41,14 years,S 92/41,S 92/41,Yes,2009 or earlier
9242,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Synthetic cannabinoid receptor agonists / CJS: MD71554,6 months or L5 or both,S 92/42,S 92/42,S 92/42,14 years,S 92/42,S 92/42,Yes,2010 April
9243,added by / Misuse of Drugs Act 1971 (Amendment) Order 2010 / [SI 2010/1207],A.2,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71575-76,6 months or L5 or both,S 92/43,S 92/43,S 92/43,14 years,S 92/43,S 92/43,Yes,2012
9245,Misuse of Drugs Act 1991 / Misuse of Drugs Act 1992 / Misuse of Drugs Act 1993,,Other Class 'B' / CJS: MD71145+ / [Class 'C' Drug]:-,6 months or L5 or both,S 92/45,S 92/45,S 92/45,14 years,S 92/45,S 92/45,Yes,2009 or earlier
9247,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Anabolic Steroids / CJS: MD71449-52,3 months or L4 or both,S 92/47,S 92/47,S 92/47,14 years,S 92/47,S 92/47,Yes,2009 or earlier
9365,,,GHB 4-Hydroxy-n-butric acid / CJS: MD71453-56,3 months or L4 or both,S 93/65,S 93/65,S 93/65,14 years,S 93/65,S 93/65,Yes,2009 or earlier
9366,,,Ketamine (Special K or Club 'horse' drug) / CJS: MD71497-99,3 months or L4 or both,S 93/66,S 93/66,S 93/66,14 years,S 93/66,S 93/66,Yes,2009 or earlier
9363,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD) / CJS:MD71545 & 72",3 months or L4 or both,S 93/63,S 93/63,S 93/63,14 years ,S 93/63,S 93/63,Yes,2010 April
934,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Piperazines (including BZP) / CJS:MD71548 & 51,3 months or L4 or both,S 93/64 ,S 93/64 ,S 93/64 ,14 years,S 93/64 ,S 93/64 ,Yes,2010 April
9248,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Other Class 'C' / CJS: MD71445-8/557,3 months or L4 or both,S 92/48,S 92/48,S 92/48,14 years,S 92/48,S 92/48,Yes,2009 or earlier
9249, / Misuse of Drugs Act 1971 / as amended by / Criminal Justice and Public Order Act 1994 / Misuse of Drugs Act 1971 , / S 5.(2) / S.157 Sch.8,Class unspecified / CJS: MD71010+ / Having possession of a controlled drug / [Class 'A' Drug]:-,6 months or L5 or both,S 92/49,S 92/49,S 92/49,Life,S 92/49,S 92/49,Yes,2009 or earlier
9250,Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971,,Cocaine / CJS: MD71210+,6 months or L5 or both,S 92/50,S 92/50,S 92/50,7 years,S 92/50,S 92/50,Yes,2009 or earlier
9254,Misuse of Drugs Act 1971,,Crack / CJS: MD71214+,6 months or L5 or both,S 92/54,S 92/54,S 92/54,7 years,S 92/54,S 92/54,Yes,2009 or earlier
9251,Misuse of Drugs Act 1971,,Heroin / CJS: MD71211+,6 months or L5 or both,S 92/51,S 92/51,S 92/51,7 years,S 92/51,S 92/51,Yes,2009 or earlier
9252,Misuse of Drugs Act 1971,,LSD / CJS: MD71212+,6 months or L5 or both,S 92/52,S 92/52,S 92/52,7 years,S 92/52,S 92/52,Yes,2009 or earlier
9253,Misuse of Drugs Act 1971,,MDMA / CJS: MD71213+,6 months or L5 or both,S 92/53,S 92/53,S 92/53,7 years,S 92/53,S 92/53,Yes,2009 or earlier
9255,Misuse of Drugs Act 1971,,Methadone / CJS: MD71215+,6 months or L5 or both,S 92/55,S 92/55,S 92/55,7 years,S 92/55,S 92/55,Yes,2009 or earlier
9367,Misuse of Drugs Act 1971,,Methylamphetamine (Crystal Meth) / CJS: MD71507,6 months or L5 or both,S 93/67,S 93/67,S 93/67,7 years,S 93/67,S 93/67,Yes,2009 or earlier
9259,Misuse of Drugs Act 1971,,Other Class 'A' / CJS: MD71219+ / [Class 'B' Drug]:-,6 months or L5 or both,S 92/59,S 92/59,S 92/59,7 years,S 92/59,S 92/59,Yes,2009 or earlier
9260,Misuse of Drugs Act 1971,,Amphetamine / CJS: MD71220+,3 months or L4 or both,S 92/60,S 92/60,S 92/60,5 years,S 92/60,S 92/60,Yes,2009 or earlier
9261,as amended by / Misuse of Drugs Act 1971 (Amendment) Order 2008,,Cannabis and cannabis resin; Cannabinol; Cannabinol derivatives / CJS: MD71530,3 months or L4 or both,S 92/61,S 92/61,S 92/61,5 years,S 92/61,S 92/61,Yes,2009 or earlier
9262,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Synthetic cannabinoid agonists / CJS: MD71552,3 months or L4 or both,S 92/62,S 92/62,S 92/62,5 years,S 92/62,S 92/62,Yes,2010 April
9263,added by / Misuse of Drugs Act 1971 (Amendment) Order 2010 / [SI 2010/1207], / A.2,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71574,L4 or 3 months or both,S 92/63,S 92/63,S 92/63,5 years,S 92/63,S 92/63,Yes,2012
9263,added by / Misuse of Drugs Act 1971 (Amendment) Order 2010 / [SI 2010/1207], / A.2,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71574,L4 or 3 months or both,S 92/63,S 92/63,S 92/63,5 years,S 92/63,S 92/63,Yes,2012
